Item id,Manufacturer,Vehicle id,Description,Image URL
1021050,32328,698422,"
Bumper
83-91,Fitting Position: FrontSTOßSTANGE VO. AUDI 1OO,
TYP 44Stoßfänger83-91,Einbauseite: vorne",https://teileshop.diederichs.com/temp/image/popup/1_1021050_880.jpg
1021051,32328,698422,"
Bumper
83-91              mit NLLFitting Position: FrontBumper Version: with arrangement for fog lampSTOßSTANGE VO. AUDI 100,
MIT NEBELLAMPENLÖCHERStoßfänger83-91              mit NLLEinbauseite: vorneStoßstangenausführung: mit Vorbereitung für Nebelscheinwerfer",https://teileshop.diederichs.com/temp/image/popup/1_1021051_880.jpg
1021072,32328,698422,"
Indicator
82-90                 WEIáFitting Position: RightQuality: Depo / TYCColour: WhiteSupplementary Article/Supplementary Info: without lamp baseBLINKLAMPE RE. AUDI 100,
NICHT COUPEBlinkleuchte82-90                 WEIßEinbauseite: rechtsQualität: Depo / TYCFarbe: weißErgänzungsartikel/Ergänzende Info: ohne Lampenträger",https://teileshop.diederichs.com/temp/image/popup/1_1021072_880.jpg
1021073,32328,698422,"
Indicator
82-90                 WEIáFitting Position: LeftQuality: Depo / TYCColour: WhiteSupplementary Article/Supplementary Info: without lamp baseBLINKLAMPE LI. AUDI 100,
NICHT COUPEBlinkleuchte82-90                 WEIßEinbauseite: linksQualität: Depo / TYCFarbe: weißErgänzungsartikel/Ergänzende Info: ohne Lampenträger",https://teileshop.diederichs.com/temp/image/popup/1_1021072_880.jpg
1021080,32328,698422,"
Headlight
83-90               MIT""""EFitting Position: RightQuality: Depo / TYCBulb Type: H4Registration Type: E-type checkedVehicle Equipment: for vehicles with headlamp levelling (mechanical)Supplementary Article/Supplementary Info: with lamp baseSCHEINWERFER RE. AUDI 100,
MIT MAN.LWR+""""E""""Hauptscheinwerfer83-90               MIT""""EEinbauseite: rechtsQualität: Depo / TYCLampenart: H4Zulassungsart: E-Typ-geprüftFahrzeugausstattung: für Fahrzeuge mit Leuchtweiteregelung (mechanisch)Ergänzungsartikel/Ergänzende Info: mit Lampenträger",https://teileshop.diederichs.com/temp/image/popup/1_1021080_880.jpg
1021081,32328,698422,"
Headlight
83-90               MIT""""EFitting Position: LeftQuality: Depo / TYCBulb Type: H4Registration Type: E-type checkedVehicle Equipment: for vehicles with headlamp levelling (mechanical)Supplementary Article/Supplementary Info: with lamp baseSCHEINWERFER LI. AUDI 100,
MIT MAN.LWR+""""E""""Hauptscheinwerfer83-90               MIT""""EEinbauseite: linksQualität: Depo / TYCLampenart: H4Zulassungsart: E-Typ-geprüftFahrzeugausstattung: für Fahrzeuge mit Leuchtweiteregelung (mechanisch)Ergänzungsartikel/Ergänzende Info: mit Lampenträger",https://teileshop.diederichs.com/temp/image/popup/1_1021081_880.jpg
1101610,32328,698422,"
Suspension Kit
96-05Fitting Position: Front AxleSteering arm type: Control ArmModel year to: 2002QUERLENKER SATZ A4;PASSAT;
12 TLG. MIT SCHRAUBENReparatursatz, Querlenker96-05Einbauseite: VorderachseLenkerart: QuerlenkerModelljahr bis: 2002",https://teileshop.diederichs.com/temp/image/popup/1_1101610_880.jpg
1102102,32328,698422,"
Tie Rod End
82->>Cone Size [mm]: 12,5Inner thread [mm]: M16x1,50Thread Type: with right-hand threadSPURST.-KOPF RE. AUDI A6,
+AUDI 100Spurstangenkopf82->>Konusmaß [mm]: 12,5Innengewinde [mm]: M16x1,50Gewindeart: mit Rechtsgewinde",https://teileshop.diederichs.com/temp/image/popup/1_1102102_880.jpg
1102103,32328,698422,"
Tie Rod End
82->>Cone Size [mm]: 12,5Inner thread [mm]: M16x1,50Thread Type: with right-hand threadSPURST.-KOPF LI. AUDI A6,
+AUDI 100Spurstangenkopf82->>Konusmaß [mm]: 12,5Innengewinde [mm]: M16x1,50Gewindeart: mit Rechtsgewinde",https://teileshop.diederichs.com/temp/image/popup/1_1102102_880.jpg
8400000,32328,698422,"
Repair Kit, window adhesive
KARTUSCHE 310mlContents [ml]: 310KLEBESATZ FRONTSCHEIBEN,
UNIVERSELLReparatursatz, ScheibeneinklebenKARTUSCHE 310mlInhalt [ml]: 310",https://teileshop.diederichs.com/temp/image/popup/1_8400000_880.jpg
8400696,32328,698422,"
Windscreen
97-02Lens Colour: GreenSee accessories list for additionally required parts:Glass: with grey topGlass: with rain sensor arrangementFRONTSCHEIBE C208,
GRÜN/GRAUKEIL M.RSV /COUPEFrontscheibe97-02Lichtscheibenfarbe: grünzusätzlich benötigte Artikel siehe Zubehörliste:Verglasung: mit GraukeilVerglasung: mit Regensensorvorbereitung",https://teileshop.diederichs.com/temp/image/popup/1_8400696_880.jpg
8400704,32328,698422,"
Windscreen
86-90Lens Colour: Crystal clearSee accessories list for additionally required parts:Glass: with green topFRONTSCHEIBE AUDI 100,
1255 CG KLAR M. GRÜNKEILFrontscheibe86-90Lichtscheibenfarbe: glasklarzusätzlich benötigte Artikel siehe Zubehörliste:Verglasung: mit Grünkeil",https://teileshop.diederichs.com/temp/image/popup/1_8400704_880.jpg
8400712,32328,698422,"
Windscreen
86-90Lens Colour: GreenSee accessories list for additionally required parts:Glass: with green topFRONTSCHEIBE AUDI 100,
1255 GG GRÜN M. KEILFrontscheibe86-90Lichtscheibenfarbe: grünzusätzlich benötigte Artikel siehe Zubehörliste:Verglasung: mit Grünkeil",https://teileshop.diederichs.com/temp/image/popup/1_8400712_880.jpg
